,"10,000 Emerald Pools",7,Adventure Of A Lifetime,Alaska,All The Pretty Girls,America's Sweetheart,Angela,Arsonist's Lullabye,"Atlas, Rise!",Believer,Blame,Brace For Impact (Live A Little),Brand New,Chain Breaker,Cocoon,Cold Cold Cold,Dancing On Glass,Death Of A Bachelor,Die Young,Ditmas,"Do It, Try It",Don't Threaten Me With A Good Time,Emperor's New Clothes,Ex's & Oh's,Feed The Machine,Feel It Still,Fire Escape,Genghis Khan,Gone,Good Girls,HandClap,Happy Song,Hard Love,Hated,Heathens,Heavy,Heavydirtysoul,Help,Here's To The Heartache,Hot Thoughts,How Did You Love,Human,Hymn For The Weekend,Hypnotised,In The Dark,Keeping Your Head Up,Kiss This,LA Devotee,Let It Go,Let You Down,Lost On You,Love,Love Is Mystical,Love On The Weekend,Mess Around,Message Man,Middle Fingers,Monster,Mountain At My Gates,My Name Is Human,Never Again,Nimble Bastard,On Hold,Ophelia,Past Lives,Renegades,Ride,Rise,Saint Cecilia,Shine,Somebody Else,Spirits,Stars,Start A Riot,State Of My Head,Still Breathing,Still Feel Like Your Man,Stressed Out,Sucker For Pain,Sweet Disaster,Tearing Me Up,Testify,The Less I Know The Better,The Light,The Sound,The Sound Of Silence,Trip Switch,UGH!,Unsteady,Victorious,Walking On A Dream,Wash It All Away,Waste A Moment,Way Down We Go,Wild Horses,Wish I Knew You,Woman Woman,You And I
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""S-P-I-R-I-T, spirit\nLet's hear it\nS-P-I-R-I-T, spirit\nLet's hear it\nLet's go"", ""I've had enough\nThere's a voice in my head\nSays I'm better off dead"", ""But if I sing along a little fucking louder\nTo a happy song, I'll be alright"", ""You want to give up\nGave it all that you've got\nAnd it still doesn't cut"", ""But if you sing along a little fucking louder\nTo a happy song\nYou'll be just fine cause"", 'Every now and again we get the feeling\nAnd the great big void inside us opens up\nAnd I really wish that you could help', ""But my head is like a carousel and\nI'm going round in circles, going round in circles"", ""S-P-I-R-I-T, spirit\nLet's hear it\nS-P-I-R-I-T, spirit\nLet's hear it"", ""We are possessed\nWe're all fucked in the head\nAlone and depressed"", ""But if we sing along a little fucking louder\nTo a happy song\nMaybe we'll forget cause"", 'Every now and again we get the feeling\nAnd the great big void inside us opens up\nAnd I really wish that you could help', ""But my head is like a carousel and\nI'm going round in circles, going round in circles"", ""Don't wake us up\nWe’d rather just keep dreaming\nCause the nightmares in our heads are bad enough\nAnd I really wish that you could help"", ""But my head is like a carousel\nAnd I'm going round in circles, I'm going round in circles"", 'The world has coalesced\nInto one giant mess of hate and unrest', ""So let's sing along a little goddamn louder\nTo a happy song and pretend it's all okay"", ""Sing along\nLet's sing along\nA little fucking louder\nA little fucking louder\nWell don't you feel so much better"", ""S-P-I-R-I-T, spirit\nLet's hear it\n(Well that's the spirit)\nS-P-I-R-I-T, spirit\nLet's hear it\n(Yeah, that's the spirit)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""There ain't no secrets anymore\nMy name's been hanging on the hook outside your door\nJust an old eyesore"", 'Bring me some healing\nSaint Cecilia', ""I know no matter what I say\nDays will come and go\nNo matter what I say\nNothing's set in stone\nNo matter what I say\nDays go by\nI know no matter what I say\nDays will come and go\nNo matter what I say\nNothing's set in stone\nNo matter what I say\nDays go by""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I've made up my mind over and over\nKeep pressing rewind but I'm getting older\nTried every door, don't know who I'm looking for\nAnd I've made up my mind over and over"", ""I can't be everything you want me to be"", ""Finally, I can see the light through the leaves\nBut it's all gone\nBut it's all gone"", ""What comes from the ground now is returning\nIt's all the same sound and my ears are burning""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Last night I fell apart\nBroke from my swollen heart', 'Born in a simple time\nRaised with a simple mind', 'You, you, you may be a natural, woman\nYou may be a natural, woman\nYou, you may be a natural, woman\nYou may be a natural, woman', ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""I may be worthless without you\nI'll never decide to replace you\nAmen, the worst is behind us now\n(Woman woman)\n(Woman)"", 'Last night I fell apart\nChoked on my drunken heart', ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""Who's that (woman woman)?\nThere's that (woman woman)\nBe my (woman woman)\nWon't you see me in the dark?"", ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""I may be worthless without you\nI'll never decide to replace you""]",
36,"[""I'll dive in deeper, deeper for you"", 'Down to the bottom, 10,000 emerald pools\nDown to the bottom, 10,000 emerald pools', 'Under water\nTime is standing still', ""You're all I need to breathe\nAll I need is you!"", 'Under water\nTime is standing still', 'Down to the bottom, 10,000 emerald pools']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['You got two black eyes from loving too hard', 'And a black car that matches your blackest soul', ""I wouldn't change ya, oh\nWouldn't ever try to make you leave, no"", 'Oh, the neon coast was your sign', 'And the Midwest wind with Pisces rising', ""Wouldn't change ya, oh\nWouldn't ever try to make you leave, no"", 'Static palms melt your vibe', 'Midnight whisperings', 'The black magic on Mulholland Drive', 'Swimming pools under desert skies', 'Drinking white wine in the blushing light', 'Just another LA Devotee', 'Sunsets on the evil eye\nInvisible to the Hollywood shrine', 'Always on the hunt for a little more time', 'Just another LA Devotee\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another LA Devotee', '[Verse 2]', 'You got bleached out eyes from the valley sand', 'And a black tar palm keeps weeping your name', ""I couldn't change ya, oh\nCouldn't ever try to make you see, no"", 'The high rise lights read your rights', 'And a downtown storm with Aries rising', ""Couldn't change ya, oh\nCouldn't ever try to make you see, no"", 'Static palms melt your vibe', 'Midnight whisperings', 'The black magic on Mulholland Drive', 'Swimming pools under desert skies', 'Drinking white wine in the blushing light', 'Just another LA Devotee', 'Sunsets on the evil eye\nInvisible to the Hollywood shrine', 'Always on the hunt for a little more time', 'Just another LA Devotee\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another LA Devotee', 'LA Devotee\nLA Devotee\nLA Devotee\nLA Devotee', '[Chorus]', 'The black magic on Mulholland Drive', 'Swimming pools under desert skies', 'Drinking white wine in the blushing light', 'Just another LA Devotee', 'Sunsets on the evil eye\nInvisible to the Hollywood shrine', 'Always on the hunt for a little more time', 'Just another LA Devotee\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another, just another, uh oh\nJust another LA Devotee']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Times that I've seen you lose your way\nYou're not in control and you won't be told\nAll I can do to keep you safe is hold you close\nHold you close till you can breathe on your own\nTill you can breathe on your own"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling"", ""Everyone keeps a darker place\nTo lose control, you're not alone"", ""And when you come looking for embrace\nI know your soul; I'll be your home\nTil you can breathe on your own\nTil you can breathe on your own"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up\nAnd I won't let you down"", ""You never think that you can fly\nYou'll always swim against the tide"", ""Don't you know your pain is mine?\nAnd I would die a thousand times to ease your mind\nTo ease your mind"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up\nAnd I won't let you down""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Eh! Eh! Eh! Eh!\nEh! Eh! Eh! Eh!', 'No no no no no no (Eh! Eh! Eh! Eh!)\nYeah yeah yeah yeah yeah yeah (Eh! Eh! Eh! Eh!)', 'A loser hides behind\nA mask of my disguise', 'And who I am today\nIs worse than other times', ""You don't know what I've done\nI'm wanted and on the run\nI'm wanted and on the run"", ""So I'm taking this moment to live in the future"", 'Release me from the present', ""I'm obsessing, all these questions\nWhy I'm in denial\nThat they tried this suicidal session"", ""Please use discretion when you're messing with the message, man"", ""These lyrics aren't for everyone\nOnly few understand"", 'Eh! Eh! Eh! Eh!\nEh! Eh! Eh! Eh!', 'No no no no no no (Eh! Eh! Eh! Eh!)\nYeah yeah yeah yeah yeah yeah (Eh! Eh! Eh! Eh!)', ""You don't know my brain\nThe way you know my name\nYou don't know my heart\nThe way you know my face"", ""So I'm taking this moment to live in the future"", '[Chorus]', ""Release me from the present\nI'm obsessing,"", ""all these questions\nWhy I'm in denial\nThat they tried this suicidal session\nPlease use discretion when you're messing with the message, man"", ""These lyrics aren't for everyone\nOnly few understand"", 'Eh Eh Eh Eh Eh Eh Eh Eh\nMy people singing\nEh Eh Eh Eh\nMy people singing\nEh Eh Eh Eh', ""Hope you're dead cause how could you sleep at a time like this?"", ""People they rhyme like this, we're all impressed by this\nThey rip it, flip it, but these are just triplets\nWrote this in three minutes, three words to a line\nIt's just poetry divided,"", ""I'm the kind of guy\nWho takes every moment he knows he confided in\nMusic to use it for others to use it"", ""You're dead cause how could you sleep at a time like this?"", ""Life is up here but you comment below\nWhen the comments below will always become common\nMotivation to promote your show's next episode"", 'So your brain knows to keep going even though hope\nIs far from this moment', ""But you and I know it gets better\nWhen morning finally rears its head\nTogether we're losers\nRemember the future\nRemember the morning is when night is dead"", ""Release me from the present\nI'm obsessing, all these questions\nWhy I'm in denial\nThat they tried this suicidal session\nPlease use discretion when you're messing with the message, man\nThese lyrics aren't for everyone\nOnly few understand"", ""Please use discretion when you're messing with the message, man"", ""These lyrics aren't for everyone\nOnly few understand"", 'My people singing', 'My people singing\n(Eh! Eh! Eh! Eh!)\nMy people singing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Lost love is sweeter when it's finally found"", ""I've got the strangest feeling\nThis isn't our first time around"", ""Sometimes the dreamers finally wake up\nDon't wake me I'm not dreaming\nDon't wake me I'm not dreaming..."", 'All my past lives they got nothing on me', ""Golden eagle you're the one and only flying high"", ""I'll take you way back, countless centuries\nDon't you remember? That you were meant to be\nMy Queen of Hearts, meant to be my love"", ""Through all of my lives\nI'd never thought I'd wait so long for you\nThe timing is right\nThe stars are aligned"", 'Swear to the moon, the stars, the sons and the daughters\nOur love is deeper than the oceans of water', ""Passing seasons, empty bottles of wine\nMy ancient kingdom came crashing down without you\nBaby child, I'm lost without your love"", 'Diamond sparrow', ""Through all of my lives\nI'd never thought I'd wait so long for you\nThe timing is right\nThe stars are aligned"", 'Respect to the moon, the stars, their sons and their daughters\nOur love is deeper than the oceans of water', 'Our love is deeper than the oceans of water', 'Swear to the moon, the stars, the sons and the daughters\nOur love is deeper than the oceans of water', 'Our love is deeper than the oceans of water']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Someone said they left together\nI ran out the door to get her\nShe was holding hands with Trevor\nNot the greatest feeling ever', 'Said, ""Pull yourself together\nYou should try your luck with Heather""', 'Then I heard they slept together\nOh, the less I know the better\nThe less I know the better', ""Oh my love, can't you see yourself by my side\nNo surprise when you're on his shoulder like every night\nOh my love, can't you see that you're on my mind\nDon't suppose we could convince your lover to change his mind\nSo goodbye"", 'She said, ""It\'s not now or never\nWait ten years, we\'ll be together""\nI said, ""Better late than never\nJust don\'t make me wait forever""\nDon\'t make me wait forever\nDon\'t make me wait forever', ""Oh my love, can't you see yourself by my side?\nI don't suppose you could convince your lover to change his mind"", ""I was doing fine without ya\n'Til I saw your face, now I can't erase\nGiving in to all his bullshit\nIs this what you want, is this who you are?\nI was doing fine without ya\n'Til I saw your eyes turn away from mine\nOh, sweet darling, where he wants you"", 'Said, ""Come on Superman, say your stupid line""\nSaid, ""Come on Superman, say your stupid line""\nSaid, ""Come on Superman, say your stupid line""']",,,,,,,,,,,,,,,
43,,,,,,,,,,,,"['One day you wake up\nAnd this life will be over', 'Every party must break up', 'For burdens to shoulder', ""We're dying to live\nLiving to die"", 'No matter what you believe\nAnd all of us cry\nFor the ones we must leave', 'So go and live a little\nBone turns brittle\nAnd skin withers before your eyes\nMake sure you give a little\nBefore you go to the great unknown in the sky', 'Some will beg for forgiveness\nFrom someone above\nFor something they did\nTo someone they love\nSome scream like a baby\nSome go out crying\nSome bid the world goodbye\nAnd welcome to die', 'Go out and live a little\nBone turns brittle\nAnd skin withers before your eyes\nMake sure you give a little\nBefore you go to the great unknown in the sky']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['(Rise!)\nGet yourselves together\n(Rise!)\nStand up and live your life\n(Rise!)\nGet yourselves together\n(Rise!)\nHands up, hands up high', '(Rise!)\nGet yourself together!\n(Rise!)\nStand up and live your life!\n(Rise!)\nGet yourselves together!', '(Rise!)\nGet yourselves together!\n(Rise!)\nStand up and live your life!']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['[Verse 1]', ""Hey boy stop pacing 'round the room\nUsing other people's faces as a mirror for you"", ""I know your lungs need filling\nSince your gums have lost their feeling\nBut don't say that you're giving it up again"", '""Do you have a card?\nMy irregular heart beat is starting to correct itself""', ""It's just a simple diarrhetic that prevents the empathetic\nFrom being just and giving it up"", ""And you're the only thing that's going on in my mind\nTaking over my life a second time"", ""I don't have the capacity for fucking\nYou're meant to be helping me"", ""When I said I liked it better without my money, I lied\nIt took a little while to recognize\nThat I, I'm not giving it up again"", ""This conversation's not about reciprocation no more\nBut I'm gon' wait until you finish so I can talk some more\nAbout me and my things, my car, my living\nAnd how I'm giving it up, giving it up again"", ""And you're the only thing that's going on in my mind\nTaking over my life a second time"", ""I don't have the capacity for fucking\nYou're meant to be helping me"", ""When I said I liked it better without my money, I lied\nIt took a little while to recognize\nThat I, I'm not giving it up again"", ""Oh the kick won't last for long\nBut the song only lasts 3 minutes\nI think I've lost my phone\nSo won't you call it up for me?\nOh the kick won't last for long\nBut the song only lasts 3 minutes"", ""And I know it's wrong\nBut give me one"", ""And you're the only thing that's going on in my mind\nTaking over my life a second time"", ""I don't have the capacity for fucking\nYou're meant to be helping me"", ""When I said I liked it better without my money, I lied\nIt took a little while to recognize\nThat I, I'm not giving it up again"", ""I'm not giving it up\nI'm not giving it up\nI'm not giving it up\nI'm not giving it up\nI'm not giving it up, giving it up\nI'm not giving it up, giving it up""]",,,,,,,,,,
47,,,,,,,,,,,,,,,,,"['Science and reason will tell us so\nThe blood in our veins are just chemicals', ""You'd better believe I keep my demons to myself"", ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""How high is too low\nWe're not that young"", 'Dancing on glass\nDancing on glass', ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""High high is too low\nWe're not that young"", ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""How high is too low\nWe're not that young""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,"['And in time\nAs one reminds the other of the past', 'A life lived much too fast to hold onto', 'How am I losing you?', ""A broken house\nAnother dry month waiting for the rain\nAnd I had been resisting this decay\nI thought you'd do the same"", ""[Hook]\nBut this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", 'And so I cry\nAs I hold you for the last time in this life\nThis life I tried so hard to give to you\nWhat would you have me do?', ""But this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", 'Where I used to end was where you start', 'You were the only one\nAnd now I see your eyes move too fast\nYou were the only one', 'And wandering without that much to say\nYour words are empty as the bed we made', 'Is there another way?\nOh love, is there another way?', ""But this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", ""And now I'm losing you""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I know it’s warmer where you are\nAnd it’s safer by your side\nBut right now, I can't be what you want\nJust give it time"", 'And if you and I can make it through the night\nAnd if you and I can keep our love alive', ""We'll find we can meet in the middle\nBodies and souls collide\nDance in the moonlight\nWhen all the stars align\nFor you and I, for you and I, oh"", ""I know it’s cold when we’re apart\nAnd I hate to feel this die\nBut you can't give me what I want\nJust give it time"", 'And if you and I can make it through the night\nAnd if you and I can keep our love alive', ""We'll find we can meet in the middle\nBodies and souls collide\nDance in the moonlight\nWhen all the stars align\nFor you and I, for you and I, oh"", ""But for now, we stay so far\n'Til our lonely limbs collide\nI can’t keep you in these arms\nSo I'll keep you in my mind\nBut for now, we stay so far\n'Til our lonely limbs collide\nI can’t keep you in these arms\nSo I'll keep you in my mind"", ""(Reaching out, I can't feel you now)"", 'Can we meet in the middle?\nBodies and souls collide\nDance in the moonlight\nWhen all the stars align\nFor you and I, for you and I, oh']"
50,,,,,,,,,,"[""First things first\nI'ma say all the words inside my head\nI'm fired up and tired of the way that things have been, oh-ooh\nThe way that things have been, oh-ooh"", ""Second things second\nDon't you tell me what you think that I could be\nI'm the one at the sail, I'm the master of my sea, oh-ooh\nThe master of my sea, oh-ooh"", 'I was broken from a young age\nTaking my sulking to the masses\nWriting my poems for the few\nThat look to me, took to me, shook to me, feeling me', 'Singing from heartache from the pain\nTaking my message from the veins\nSpeaking my lesson from the brain\nSeeing the beauty through the...', 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down and build me up, believer, believer\nPain!\nOh let the bullets fly, oh let them rain\nMy life, my love, my drive, it came from...\nPain!\nYou made me a, you made me a believer, believer', ""Third things third\nSend a prayer to the ones up above\nAll the hate that you've heard has turned your spirit to a dove, oh-ooh\nYour spirit up above, oh-ooh"", 'I was choking in the crowd\nBuilding my rain up in the cloud\nFalling like ashes to the ground', 'Hoping my feelings, they would drown\nBut they never did, ever lived, ebbing and flowing\nInhibited, limited\nTill it broke open and rained down\nAnd rained down, like...', 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down and build me up, believer, believer\nPain!\nOh let the bullets fly, oh let them rain\nMy life, my love, my drive, it came from...\nPain!\nYou made me a, you made me a believer, believer', 'But they never did, ever lived, ebbing and flowing\nInhibited, limited\nTill it broke open and rained down\nAnd rained down, like...', 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down and build me up, believer, believer\nPain!\nOh let the bullets fly, oh let them rain\nMy life, my love, my drive, it came from...\nPain!\nYou made me a, you made me a believer, believer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse\nAll my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'Welcome to the room of people\nWho have rooms of people that they loved one day', ""Locked away\nJust because we check the guns at the door\nDoesn't mean our brains will change from hand grenades"", ""You're loving on the psychopath sitting next to you\nYou're loving on the murderer sitting next to you"", 'You\'ll think, “How\'d I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", ""We don't deal with outsiders very well\nThey say newcomers have a certain smell\nYou have trust issues, not to mention\nThey say they can smell your intentions"", 'You\'re loving on the freakshow sitting next to you\nYou\'ll have some weird people sitting next to you\nYou\'ll think “How did I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '(Watch it, watch it)', '[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'All my friends are heathens, take it slow', '(Watch it)', 'Wait for them to ask you who you know', '(Watch it)', 'Please all my friends are heathens, take it slow', '(Watch it)', 'Wait for them to ask you who you know', ""Why'd you come? You knew you should have stayed\n(It's blasphemy)"", ""I tried to warn you just to stay away\n(Away)\nAnd now they're outside ready to bust\n(To bust)\nIt looks like you might be one of us""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I wish I found some better sounds no one's ever heard\nI wish I had a better voice that sang some better words\nI wish I found some chords in an order that is new\nI wish I didn't have to rhyme every time I sing"", ""I was told, when I get older, all my fears would shrink\nBut now I'm insecure, and I care what people think"", ""My name's Blurryface and I care what you think\nMy name's Blurryface and I care what you think"", ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWe're stressed out"", ""Sometimes a certain smell will take me back to when I was young\nHow come I'm never able to identify where it's coming from?"", ""I'd make a candle out of it, if I ever found it\nTry to sell it, never sell out of it, I'd probably only sell one\nIt'd be to my brother, 'cause we have the same nose\nSame clothes, home grown, the stone's throw from a creek we used to roam"", 'But it would remind us of when nothing really mattered\nOut of student loans and tree house homes, we all would take the latter', ""My name's Blurryface and I care what you think\nMy name's Blurryface and I care what you think"", ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out"", '[Bridge]', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSingin\', ""wake up, you need to make money!"", yeah', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSingin\', ""wake up, you need to make money!"", yeah', ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out"", '[Outro]', 'We used to play pretend, used to play pretend, bunny\nWe used to play pretend, wake up you need the money\nUsed to play pretend, used to play pretend, bunny\nWe used to play pretend, wake up you need the money', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSayin\', ""wake up, you need to make money!"", yeah']",,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,"['Well, I had me a boy, turned him into a man', ""I showed him all the things that he didn't understand\nWhoa, and then I let him go"", ""Now, there's one in California who's been cursing my name\nCause I found me a better lover in the UK\nHey, hey, until I made my getaway"", ""One, two, three, they gonna run back to me\nCause I'm the best baby that they never gotta keep\nOne, two, three, they gonna run back to me"", 'They always wanna come, but they never wanna leave', ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and oh's"", 'I had a summer lover down in New Orleans\nKept him warm in the winter, left him frozen in the spring', 'My, my, how the seasons go by', 'I get high, and I love to get low', ""So the hearts keep breaking, and the heads just roll\nYou know that's how the story goes"", ""One, two, three, they gonna run back to me\nCause I'm the best baby that they never gotta keep\nOne, two, three, they gonna run back to me"", 'They always wanna come, but they never wanna leave', ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and oh's"", 'One, two, three, they gonna run back to me\nClimbing over mountains and a-sailing over seas\nOne, two, three, they gonna run back to me\nThey always wanna come, but they never wanna leave', 'They won’t let go\nEx’s and oh’s']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
