,Artist,Lyrics,Song
521,Halestorm,"['I wear my nine-inch heels when we go to bed', ""Cause we're dysfunctional physical\nAlways slamming doors"", ""Give me a red hand print right across my ass\nI'm leaving scratches up and down your back\nThrow me against the wall, bite me on my neck"", 'Like end of the world, break-up sex']",Apocalyptic
522,The Black Keys,"[""I used to think, darlin', you never did nothin'\nBut you were always up to somethin'"", ""I got to think those days are comin' to get ya\nNow no body want to protect yah\nThey only want to forget yah"", ""You'll be on my mind\nDon't give yourself away\nTo the weight of love\nYou'll be on your side\nDon't give yourself away\nThe weight of, weight of love"", ""Dance all night cause people, they don't wanna be lonely\nNever wanna be lonely\nThey don't wanna be an only - one"", 'You had a thing no one could ever be sure of\nNever ever had a pure love\nAnd never no cure from', ""You'll be on my mind\nDon't give yourself away\nTo the weight of love\nYou'll be on your side\nDon't give yourself away\nThe weight of, weight of love"", '[Solo]']",Weight Of Love
523,MisterWives,"['Came in like the breeze\nI felt it in my knees', 'Never will it leave\nEach day, it is retrieved', 'We built our own house, own house', ""With our hands over our hearts\nAnd we swore, on that day\nThat it'll never fall apart"", ""And we swore, on that day\nThat it'll never fall apart"", 'Wake up to the Sun\nClouds always come undone', 'Read it in a tale\nOne too tall to be real\nAnd proved me wrong, it seems\nA heart can truly gleam', ""Take it all, take it away\nWe'll still have this undying\nLove that is beating\nTill our lungs stop breathing\nTake it all, take it away\nWe'll still have our riches"", 'No need for stitches\nCause love mends the pain']",Our Own House
524,Catfish And The Bottlemen,"[""You're simpatico"", ""And of all the lift-homes and all the mixed feelings\nYou're cuts above"", ""And you don't own worries or a chest full of heartache\nYes I Know\nThat I'll never work out exactly how you\xad're thinking"", ""But let me know when I'm needed home"", ""And I'd come\nYou can leather me with your lips"", ""I've gotta give it to you\nYou give me problems\nWhen you are not in the mood"", ""I've gotta give it to you\nYou give me problems\nAnd made me give in to you"", 'Her dealer hates me you know\nHe used to see her but she sold\nHim off on down the river', ""It's impractical\nTo go out and catch a death with a dress\xad fit for the summer\nSo you don't\nInstead you calls me up with a head full\xad of filth"", ""Yes I know\nI'll never acquiesce anything you're thinking\nBut let me know when I'm needed home"", ""And I'd come\nYou can leather me with your lips"", ""I've gotta give it to you\nYou give me problems\nWhen you are not in the mood"", ""I've gotta give it to you\nYou give me problems\nAnd made me give in to you"", 'Her dealer hates me you know', 'He used to see her but she sold\nHim off on down the river']",Kathleen
525,Joywave,[],Somebody New
526,The Pretty Reckless,"['Love comes with such a cost', 'Have I lost my mind?\nHave I lost my mind?\nHave I lost my mind?', 'Follow me down to the river\nDrink while the water is clean', ""I'll be down here on my knees\nSo follow me down to the river\nFollow me down through the trees\nFollow me down to the river, man\nI'll be down here on my knees\nI'll be down here on my knees"", ""Don't confess none of your sins"", ""When you're young you always take what you can get\nEven bicycles and sprinklers get you wet"", ""Now I know that there's a different way to die""]",Follow Me Down
527,Incubus,"['It’s like an intuition, or a feeling in the air\nAn intangible impression that’s always everywhere', 'You bit into the apple, laid down your sword and shield', '(Untie! A little bit dies, a little each time, the medicine smiles)', 'Then spun round like a gyre in the unified field', '(Inside, your elegant guide, an arrow in flight, a million miles)', 'I remember feeling the opposite of falling', '(Into that spot, where we untie every knot)', 'Spinning past the ceiling, absolution calling\n“Are you there, or not?”', 'It’s an open invitation, come see the sights of sages\nWe’ve been a pride of lions, so afraid to leave our cages', 'Don’t fret over the pieces that smolder in the sun']",Absolution Calling
528,Sawyer Fredericks,[],Imagine
529,Kimberly Nichole,,House Of The Rising Sun
530,Mumford & Sons,"['[Intro]', '[Verse 1: Mumford & Sons]', 'Wide eyed, with a heart made full of fright\nYour eyes follow like tracers in the night\nAnd the tightrope, that you wander every time', 'You have been weighed you have been found wanting', '[Chorus 1: Mumford & Sons]', 'Been wandering for days\nHow you felt me slip your mind\nLeave behind your wanton ways', 'I want to learn to love in kind', ""'Cause you were all I ever longed for"", '[Interlude]', '[Verse 2: Mumford & Sons]', 'Shelter, you better keep the wolf back from the door\nHe wanders ever closer every night', 'And how he waits, baying for blood\nI promised you everything would be fine', '[Chorus 1: Mumford & Sons]', '[Instrumental]', '[Bridge: Mumford & Sons]', 'Hold my gaze love, you know I want to let it go\nWe will stare down at the wonder of it all', 'And I will hold you in it\nAnd I will hold you in it', '[Chorus 2: Mumford & Sons]', '[Chorus 1: Mumford & Sons]']",The Wolf
531,twenty one pilots,"['An-nyŏng-ha-se-yo', 'Sometimes you gotta bleed to know\nThat you’re alive and have a soul\nBut it takes someone to come around\nTo show you how', 'She’s the tear in my heart\nI’m alive\nShe’s the tear in my heart\nI’m on fire\nShe’s the tear in my heart\nTake me higher\nThan I’ve ever been', 'The songs on the radio are okay\nBut my taste in music is your face', 'And it takes a song to come around\nTo show you how', 'She’s the tear in my heart\nI’m alive\nShe’s the tear in my heart\nI’m on fire\nShe’s the tear in my heart\nTake me higher\nThan I’ve ever been\nThan I’ve ever been\nThan I’ve ever been\nThan I’ve ever been', 'You fell asleep in my car, I drove the whole time\nBut that’s okay, I’ll just avoid the holes so you sleep fine', 'I’m driving here I sit\nCursing my government\nFor not using my taxes to fill holes with more cement', 'You fell asleep in my car, I drove the whole time\nBut that’s okay, I’ll just avoid the holes so you sleep fine', 'I’m driving here I sit\nCursing my government\nFor not using my taxes to fill holes with more cement', 'Sometimes you gotta bleed to know, oh, oh\nThat you’re alive and have a soul, oh, oh\nBut it takes someone to come around\nTo show you how', 'She’s the tear in my heart\nI’m alive\nShe’s the tear in my heart\nI’m on fire\nShe’s the tear in my heart\nTake me higher\nThan I’ve ever been', 'My heart is my armor\nShe’s the tear in my heart', 'She’s a carver\nShe’s a butcher with a smile\nCut me farther', 'Than I’ve ever been\nThan I’ve ever been\nThan I’ve ever been\nThan I’ve ever been', 'My heart is my armor\nShe’s the tear in my heart', 'She’s a carver\nShe’s a butcher with a smile\nCut me farther', 'Than I’ve ever been']",Tear In My Heart
532,Breaking Benjamin,"[""I tried to face the fight within\nBut it's over\nI'm ready for the riot to begin\nAnd surrender"", ""When angels fall with broken wings\nI can't give up, I can't give in\nWhen all is lost and daylight ends"", 'Gray skies will chase the light away\nNo longer', 'Divided I will stand\nAnd I will let this end', ""When angels fall with broken wings\nI can't give up, I can't give in\nWhen all is lost and daylight ends\nI'll carry you and we will live forever\nForever"", 'The sun begins to rise\nAnd wash away the sky']",Angels Fall
533,Breaking Benjamin,"['Life will come our way, it has only just begun', 'The world will die alone, the frail will fall below', 'Look for the light that leads me home', 'Tired of feeling lost, tired of letting go\nTear the whole world down, tear the whole world down\nFailure', 'The dark before the dawn, the world will carry on', 'We bury the sunlight, we bury the sunlight\nFailure, failure\nWe bury the sunlight, we bury the sunlight\nFailure, failure']",Failure
534,Muse,"['Dead inside', '[Verse 1: Matt Bellamy]', 'Revere a million prayers\nAnd draw me into your holiness', ""But there's nothing there\nLight only shines from those who share"", 'Unleash a million drones\nAnd confine me then erase me, babe', ""Do you have no soul?\nIt's like it died, long ago"", ""Your lips feel warm to the touch\nYou can bring me back to life\nOn the outside, you're ablaze and alive\nBut you're dead inside"", ""You're free to touch the sky\nWhilst I am crushed and pulverised\nBecause you need control\nNow I'm the one who's letting go"", 'You like to give an inch\nWhilst I am giving infinity', ""But now I've got nothing left\nYou have no cares and I'm bereft"", ""Your skin feels warm to caress\nI see magic in your eyes\nOn the outside, you're ablaze and alive"", ""But you're dead inside"", ""Feel me now, hold me please\nI need you to see who I am\nOpen up to me, stop hiding from me\nIt's hurting, babe\nOnly you can stop the pain"", ""Don't leave me out in the cold\nDon't leave me out to die"", ""I gave you everything, I can't give you any more"", ""Now I've become just like you"", 'My lips feem warm to the touch\nMy words seem so alive\nMy skin is warm to caress', ""I'll control and hypnotise"", ""You've taught me to lie without a trace"", 'And to kill with no remorse', ""On the outside I'm the greatest guy"", ""Now I'm dead inside""]",Dead Inside
535,Joshua Davis,"[""Americans are goin’ to outer space\nAmericans are buyin’ that real estate\nAmericans are wearin’ those sexy jeans\nAmericans can be what they wanna' be\n\nAmericans are buyin’ that modern art\nAmericans are drivin’ gigantic cars\nAmericans are doin’ that exercise"", 'troglodytes', 'Americans are livin’ like troglodytes']",America
536,In The Valley Below,"[""I've been working on my knees baby it's alright\nEverybody got disease maybe it's alright\nYou can steal from me baby that's just fine\nYou can say its free baby that's alright"", 'Working on a feeling\nBreaking down the ceiling', 'Reaching for the sweetest, sweetest peaches', ""We won't live too long\nSo let's love for one song"", ""The lion won't lay down\nWhen the holy man's in town"", ""You've been drinking all week baby that's alright\nYou've been stepping on me baby it's alright"", ""You've been tearing me apart in the dead of night"", 'Working on a feeling\nBreaking down the ceiling', 'Reaching for the sweetest, sweetest peaches', ""We won't live too long\nSo let's love for one song"", ""The lion won't lay down\nWhen the holy man's in town"", ""We won't live too long\nSo let's love for one song"", ""The lion won't lay down\nWhen the holy man's in town""]",Peaches
537,Florence + The Machine,"[""Don't touch the sleeping pills, they mess with my head"", 'Dredging up great white sharks, swimming in the bed', 'And here comes a killer whale, to sing me to sleep\nThrashing the covers off, has me by its teeth', ""And, ah, my love remind me, what was it that I said?\nI can't help but pull the earth around me to make my bed"", 'And, ah, my love remind me, what was it that I did?\nDid I drink too much? Am I losing touch?', 'Did I build a ship to wreck?', 'To wreck, to wreck, to wreck\nDid I build this ship to wreck?', ""What's with the long face? Do you want more?"", 'Thousands of red-eyed mice, scratching at the door', ""And don't let the curtain catch you, cause you've been here before"", ""The chair is an island, darling, you can't touch the floor"", ""And, ah, my love remind me, what was it that I said?\nI can't help but pull the earth around me to make my bed"", 'And, ah, my love remind me, what was it that I did?\nDid I drink too much? Am I losing touch?', 'Did I build a ship to wreck?', 'To wreck, to wreck, to wreck\nDid I build this ship to wreck?', 'Good God, under starless skies', 'We are lost, and into the breach, we got tossed', ""And the water's coming in fast"", ""And, ah, my love remind me, what was it that I said?\nI can't help but pull the earth around me to make my bed"", 'And, ah, my love remind me, what was it that I did?\nDid I drink too much? Am I losing touch?', 'Did I build a ship to wreck?', 'To wreck, to wreck, to wreck\nDid I build this ship to wreck?\nTo wreck, to wreck, to wreck\nDid I build this ship to wreck?']",Ship To Wreck
538,The Wombats,"[""This method acting might pay our bills\nBut soon enough there'll be a different role to fill"", 'I love this feeling\nBut I hate this part', 'I wanted this to work so much\nI drew up our plans on a chart', ""Cars are flipping, I'm in hot pursuit"", ""My character's strong but my head is loose"", 'She hits like ecstasy\nComes up and bangs the sense out of me', ""The tarot cards say it's not so bad"", ""And the blades rotate, there's just no landing pad"", ""I'm just tired of falling up the Penrose steps"", 'I hate this feeling\nBut I love this part', 'She really wants to make it work\nAnd I clearly want to let it start', ""We'll build a water slide\nAs soon as I get home"", 'Oh and she hits like ecstasy\nComes up and bangs the sense out of me', ""It's wrong but surely worse to leave"", 'So free up the cheaper seats', 'Here comes a Greek Tragedy']",Greek Tragedy
539,Mia Z,"[""Special - I'm a special kind of nigga\nLook at my life, baby girl; everything's bigger\nThe stash is bigger; my cash is bigger"", ""I'm into bigger things; me, I like bigger shit\nA nigga stunt in front of me, I buy a bigger whip"", ""The beef pop off, I'm lettin' off a bigger clip"", ""We swallow champagne; them niggas takin' little sips""]",Miss You
540,Sawyer Fredericks,"['[Chorus]', 'You want me to say, please\nBaby I can say, please\nYou want me to get down on my knees\nBaby I can get down on my knees', 'You want me to say, please\nBaby I can say, please\nYou want me to get down on my knees\nBaby I can get down onto my knees']",Please
541,Sawyer Fredericks,[],Old Man
542,Joshua Davis,[],The Workingman's Hymn
543,Florence + The Machine,"['Drifting through the halls with the sunrise\n(Holding on for your call)', 'Climbing up the walls for that flashing light\n(I can never let go)', ""Cause I'm gonna be free and I'm gonna be fine\n(Holding on for your call)\nCause I'm gonna be free and I'm gonna be fine\n(Maybe not tonight)"", ""Now the sun is up and I'm going blind\n(Holding on for your call)"", 'Another drink just to pass the time\n(I can never say no)', ""Cause I'm gonna be free and I'm gonna be fine\n(Holding on for your call)\nCause I'm gonna be free and I'm gonna be fine\n(Maybe not tonight)"", ""It's a different kind of danger\nAnd the bells are ringing out"", ""And I'm calling for my mother\nAs I pull the pillars down"", ""It's a different kind of danger\nAnd my feet are spinning around\nNever knew I was a dancer\n'Til Delilah showed me how"", 'Too fast for freedom\nSometimes it all falls down\nThese chains never leave me\nI keep dragging them around', ""Now I'm dancing with Delilah and her vision is mine\n(Holding on for your call)"", 'A different kind of danger in the daylight\n(I can never let go)', 'Took anything to cut you, I can find\n(Holding on for your call)', ""A different kind of a danger in the daylight\n(Can't you let me know?)"", ""Now it's one more boy and it's one more lie\n(Holding on for your call)"", 'Taking the pills just to pass the time\n(I can never say no)', ""Cause I'm gonna be free and I'm gonna be fine\n(Holding on for your call)\nCause I'm gonna be free and I'm gonna be fine\nBut maybe not tonight"", ""It's a different kind of danger\nAnd the bells are ringing out"", ""And I'm calling for my mother\nAs I pull the pillars down"", ""It's a different kind of danger\nAnd my feet are spinning around\nNever knew I was a dancer\n'Til Delilah showed me how"", ""Now I'm dancing with Delilah and her vision is mine\n(Holding on for your call)"", 'A different kind of danger in the daylight\n(I can never let go)', 'Took anything to cut you, I can find\n(Holding on for your call)', ""A different kind of a danger in the daylight\n(Can't you let me know?)"", ""Strung up, strung out for your love\nHanging, hung up, it's so rough\nI'm wrung and ringing out\nWhy can't you let me know?\nStrung up, strung out for your love\nHanging, hung up, it's so rough\nI'm wrung and ringing out\nWhy can't you let me know?"", ""It's a different kind of danger\nAnd the bells are ringing out"", ""And I'm calling for my mother\nAs I pull the pillars down"", ""It's a different kind of danger\nAnd my feet are spinning around\nNever knew I was a dancer\n'Til Delilah showed me how"", ""It's a different kind of danger\nAnd the bells are ringing out"", ""And I'm calling for my mother\nAs I pull the pillars down"", ""It's a different kind of danger\nAnd my feet are spinning around\nNever knew I was a dancer\n'Til Delilah showed me how"", 'Too fast for freedom\nSometimes it all falls down\nThese chains never leave me\nI keep dragging them around\nToo fast for freedom\nSometimes it all falls down\nThese chains never leave me\nI keep dragging them around']",Delilah
544,Mumford & Sons,"['[Intro]', 'You hold it, in your hands\nAnd let it flow, this cruelty', 'Of youth as you fall again', 'Alone, In the compromise of truth', '[Chorus]', ""It's in the eyes\nI can tell, you will always be danger\nWe had it tonight, why do you leave it open?"", '[Verse 2]', 'And the stakes remain too high\nFor this silent mind\nAnd the shake, the lonely itch\nThat courses down my spine\nTo leave a love divine\nDon’t leave a love divine\nIts a water tight excuse', '[Chorus]', ""It's in the eyes\nI can tell, you will always be danger"", 'We had it tonight, why do you always seek absolution?', ""It's in the eyes\nI can tell you will always be danger"", 'How does the earth around your feet\nJust slip away?\nAnd the bandit that greets you in the night', 'With snake eyes, the most precious kind', '[Chorus]', ""It's in the eyes!\nI can tell, you will always be danger!"", 'We had it tonight! Why do you always seek absolution?', '[Outro]']",Snake Eyes
545,Sawyer Fredericks,[],Simple Man
546,twenty one pilots,"['They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?', 'They think this thing is a highway', 'If it was our way, we’d have a tempo change every other time change', 'Cause our mind’s changed on what we think is good', 'I wasn’t raised in the hood\nBut I know a thing or two about pain and darkness', 'If it wasn’t for this music I don’t know how I would have fought this', 'Regardless, all these songs I’m hearing are so heartless', 'Don’t trust a perfect person and don’t trust a song that’s flawless, honest', 'There’s a few songs on this record that feel common', ""I’m in constant confrontation with what I want and what is poppin'"", 'In the industry it seems to me that singles on the radio are currency\nMy creativity’s only free when I’m playing shows', 'They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?\n(Will they be alive tomorrow?)', 'I’m sorry if that question I asked last\nScared you a bit like a Hazmat, in a gas mask', 'if you ask Zack\nHe’s my brother, he likes when I rap fast', ""But let's backtrack\nBack to this\nWho would you live and die for on that list?"", 'But the problem is, there’s another list that exists and no one really wants to think about this', 'Forget sanity, forget salary, forget vanity, my morality\nIf you get in between someone I love and me', 'You’re gonna feel the heat of my cavalry', 'All these songs I’m hearing are so heartless', 'Don’t trust a perfect person and don’t trust a song that’s flawless', 'They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?', 'They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?', '[Refrain]', 'But will they be alive tomorrow?\nBut will they be alive tomorrow?\nBut will they be alive tomorrow?\nBut will they be alive tomorrow?', 'They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?', 'They say, ""Stay in your lane, boy, lane, boy""\nBut we go where we want to', 'They think this thing is a highway, highway\nBut will they be alive tomorrow?']",Lane Boy
547,American Authors,[],Go Big Or Go Home
548,twenty one pilots,"['Scared of my own image, scared of my own immaturity', 'Scared of my own ceiling', ""scared I'll die of uncertainty\nFear might be the death of me, fear leads to anxiety\nDon’t know what’s inside of me"", '[Chorus]', ""Don't forget abou-bou-bou-bou-bout me\nDon't forget abou-bou-bou-bou-bout me\nEven when I doubt you\nI'm no good without you, no, no"", ""Temperature is dropping, temperature is dropping\nI'm not sure if I can see this ever stopping\nShaking hands with the dark parts of my thoughts, no"", 'You are all that I’ve got, no', ""Don't forget abou-bou-bou-bou-bout me\nDon't forget abou-bou-bou-bou-bout me\nEven when I doubt you\nI'm no good without you, no, no, no, no, no"", '[Bridge]', 'Gnawing on the bishops, claw our way up their system', 'Repeating simple phrases, someone holy insisted', 'Want the markings made on my skin\nTo mean something to me again', ""Hope you haven't left without me\nHope you haven't left without me, please"", '[Chorus]', ""Don't forget abou-bou-bou-bou-bout me\nDon't forget abou-bou-bou-bou-bout me\nEven when I doubt you\nI'm no good without you, no, no"", ""Don't forget abou-bou-bou-bou-bout me\nDon't forget abou-bou-bou-bou-bout me\nEven when I doubt you\nI'm no good without you, no, no, no, no, no"", ""Hey! Hey!\nDon't forget about me, no\nHey! Hey!\nDon't forget about me, no\nHey! Hey!\nDon't forget about me, no\nHey! Hey!\nDon't forget about me, no""]",Doubt
549,twenty one pilots,"['[Intro]\nNa-na-na-na, ooh-oh\nNa-na-na-na, ooh-oh\nNa-na-na-na, ooh-oh', '[Verse 1]', 'When the leader of the bad guys sang\nSomething soft and soaked in pain', ""I heard the echo from his secret hideaway\nHe must've forgot to close his door\nAs he cranked out those dismal chords"", 'And his four walls declared him insane', 'I found my way\nRight time wrong place\nAs I pled my case', ""You're the judge, oh no\nSet me free\nYou're the judge, oh no\nSet me free"", ""I know my soul's freezing\nHell's hot for good reason\nSo please, take me"", ""Three lights are lit\nBut the fourth one's out"", ""I can tell cause it's a bit darker\nThan the last night's bout\nI forgot about the drought\nOf light bulbs in this house"", ""So I head out\nDown a route I think is heading south\nBut I'm not good with directions"", 'And I hide behind my mouth', ""I'm a pro at imperfections\nAnd I'm best friends with my doubt\nAnd now that my mind's out\nAnd now I hear it clear and loud"", ""I'm thinking\n'Wow, I probably should've stayed inside my house.'"", 'I found my way\nRight time wrong place\nAs I pled my case', ""You're the judge, oh no\nSet me free\nYou're the judge, oh no\nSet me free"", ""I know my soul's freezing\nHell's hot for good reason\nSo please"", ""I don't know if this song\nIs a surrender or a revel\nI don't know if this one\nIs about me or the devil\nI don't know if this song\nIs a surrender or a revel\nI don't know if this one\nIs about me or the devil"", ""You're the judge, oh no\nSet me free, oh no\nYou're the judge, oh no\nSet me free, oh no"", ""I know my soul's freezing\nHell's hot for good reason\nSo please"", '[Outro]', ""You're the judge, oh no\nSet me free\nYou're the judge, oh no\nSet me free\nYou're the judge, oh no"", '(Josh Dun!)', ""Set me free\nYou're the judge, oh no\nSet me free""]",The Judge
550,twenty one pilots,"[""Help me polarize, help me polarize, help me down\nThose stairs is where I'll be hiding all my problems\nHelp me polarize, help me polarize, help me out"", 'My friends and I, we got a lot of problems', ""You know where I'm coming from\nThough I am running to you\nAll I feel is deny, deny, denial"", 'I wanted to be a better brother, better son', 'Wanted to be a better adversary to the evil I have done\nI have none to show to the one I love', 'But deny, deny, denial', ""Help me polarize, help me polarize, help me down\nThose stairs is where I'll be hiding all my problems\nHelp me polarize, help me polarize, help me out"", 'My friends and I, we got a lot of problems', 'Polarize is taking your disguises\nSeparating em, splitting em up from wrong and right', ""It's deciding where to die and deciding where to fight"", 'Deny, deny, denial', 'I wanted to be a better brother, better son', 'Wanted to be a better adversary to the evil I have done\nI have none to show to the one I love', 'But deny, deny, denial', ""Help me polarize, help me polarize, help me down\nThose stairs is where I'll be hiding all my problems\nHelp me polarize, help me polarize, help me out"", 'My friends and I, we got a lot of problems', 'Domingo en fuego', ""I think I lost my halo\nI don't know where you are\nYou'll have to come and find me, find me"", 'Domingo en fuego', ""I think I lost my halo\nI don't know where you are\nYou'll have to come and find me, find me"", 'Help me polarize, help me polarize, help me out', 'My friends and I have problems\nHelp me polarize, help me polarize, help me out\nMy friends and I have problems', 'Help me polarize, help me polarize, help me out\nMy friends and I have problems\nHelp me polarize, help me polarize, help me out', 'My friends and I have problems\nMy friends and I have problems\nMy friends and I have problems', 'Help me polarize, help me polarize, help me out', 'My friends and I have problems\nHelp me polarize, help me polarize, help me out\nMy friends and I have problems', 'I wanted to be a better brother, better son\nI wanted to be a better brother, better son\nI wanted to be a better brother, better son']",Polarize
551,Cold War Kids,"['Cheated and lied, broken so bad\nYou made a vow, never get mad', ""You play the game, though it's unfair"", ""They're all the same, who can compare?"", 'First you lose trust, then you get worried', 'Night after night, bar after club', 'Dropping like flies, who woke you up?', ""On the front lawn, sprinklers turn on\nIt's not your house, where'd you go wrong?"", 'First you get hurt, then you feel sorry', 'Flying like a cannonball, falling to the earth', 'Heavy as a feather when you hit the dirt', 'How am I the lucky one?', 'I do not deserve to wait around forever', 'when you were there first', 'First you get hurt, then you feel sorry', 'There comes a time, in a short life', 'Turn it around, get a re-write', 'Call it a dark night of the soul', 'Ticking of clocks', 'First you get close, then you get worried', 'the silent treatment', 'You get excited, you get excited\nYou got a feeling, or at least you can pretend\nYou wanna light it, you wanna light it\nYou wanna light it now, the candle from both ends\nYou get excited, you get excited', 'First you get close, then you get worried\nFirst you get close, then you get worried', 'You wanna light it now, the candle from both ends\nYou wanna light it, you wanna light it\nYou wanna light it now, the candle from both ends\nYou wanna light it, you wanna light it\nYou wanna light it now, the candle from both ends']",First
552,Mumford & Sons,"['[Intro]', 'Oh babe, meet me in Tompkins Square Park', 'I wanna hold you in the dark\nOne last time\nJust one last time', 'And oh babe, can you tell what’s on my tongue?\nCan you guess that I’ll be gone?\nWith the twilight\nWith the twilight', 'But no flame burns forever, oh no\nYou and I both know this all too well', ""And most don't even last the night\nNo they don't, they say they don't"", ""Oh babe, I've never been so lost\nI wanna hear you lie\nOne last time\nJust one last time"", 'But oh babe, I really wish you would not cry\nI only ever told you one lie\nWhen it could have been a thousand\nIt might as well have been a thousand', 'But no flame burns forever, oh no\nYou and I both know this all too well', ""And most don't even last the night\nNo they don't, they say they don't"", 'And we can talk it round again girl\nRound and round, round and round again\nOr we could leave it all tonight\nLeave it all just leave it all', 'I never tried to trick you babe\nI just tried to work it out\nBut I was swallowed up by doubt', 'If only things were black and white\nCause I just want to hold you tight\nWithout holding back my mind\nWithout holding back my mind', 'Outro/Segue']",Tompkins Square Park
553,Beck,"['Oh, oh, oh, oh, oh\nOh, oh, oh, ah, oh', 'Come on out of your dreams\nAnd wake up from your rêverie', ""Time is here, don't go to sleep"", 'Streets are running on the brink', ""They say that we've got nothing\nBut a dollar for a life of sin\nCause there's trouble on the way\nOh, there's trouble on the way"", 'Oh, get a dog and pony for a judgment day', ""Here we are (oh oh oh)\nRunning circles, around around around around (oh oh oh)\nWhen nothing's right, just close your eyes\nClose your eyes and you're gone"", ""Dreams (dreams, dreams)\nD-d-d-dreams (oh oh oh)\nShe's makin' me high, she's makin' me high\nDreams (dreams, dreams)"", ""D-d-d-dreams (oh oh oh)\nShe's makin' me high, I wanna get me free"", 'Nothing gonna get me in my world', 'Now can these broken wings free me\nAbout a light-year from reality', 'If you want to fall in a dream\nYou could put the weight right onto me', ""Here we are (oh oh oh)\nRunning circles, around around around around\nWhen nothing's right, just close your eyes\nClose your eyes and you're gone"", ""Dreams (dreams, dreams)\nD-d-d-dreams (oh oh oh)\nShe's makin' me high, she's makin' me high\nDreams (dreams, dreams)"", ""D-d-d-dreams (oh oh oh)\nShe's makin' me high, I wanna get me free"", 'Nothing gonna get me in my world\nNothing gonna get me in my world', '[Bridge]', 'Ahh, stop fucking with my dreams, dreams, yeah\nAhh, stop fucking with my dreams, dreams, yeah', '[Pre-Chorus]', ""Here we are (oh oh oh)\nRunning circles, around around around around\nWhen nothing's right, just close your eyes\nClose your eyes and you're gone"", ""Dreams (dreams, dreams)\nD-d-d-dreams (oh oh oh)\nShe's makin' me high, she's makin' me high\nDreams (dreams, dreams)"", 'D-d-d-dreams (oh oh oh)\nAll day and all night\nI wanna get me free', 'Nothing gonna get me in my world', 'I wanna get me free\nNothing gonna get me in my world\nNothing gonna get me in my world']",Dreams
554,Five Finger Death Punch,"[""There's just so much God damned weight on my shoulders\nAll I'm trying to do is live my motherfucking life"", ""Supposed to be happy, but I'm only getting colder\nWear a smile on my face, but there's a demon inside"", ""Wear a smile on my face, but there's a demon inside"", ""Oh, yo, yo, there's a demon inside\nOh, yo, yo, just like Jekyll and Hyde\nOh, yo, yo, all this anger inside\nOh, yo, yo, I feel like Jekyll and Hyde"", '[Verse 2]', ""I just wanna be Jekyll, but I'm always fighting Hyd"", 'e', ""You've got rocks in your head, I can hear them rolling 'round"", 'Is there a method to your madness?', 'Is it all about pride?', ""Oh, yo, yo, there's a demon inside\nOh, yo, yo, just like Jekyll and Hyde\nOh, yo, yo, all this anger inside\nOh, yo, yo, I feel like Jekyll and Hyde"", ""If I wasn't so deranged, could I ever face the pain?"", 'If I ever were to change, would this song remain the same?', ""Oh, yo, yo\nAll I'm trying to do is live my motherfucking life"", ""Oh, yo, yo\nWear a smile on my face, but there's a demon inside"", ""Wear a smile on my face, but there's a demon inside"", ""Oh, yo, yo, there's a demon inside\nOh, yo, yo, just like Jekyll and Hyde\nOh, yo, yo, all this anger inside\nOh, yo, yo, I feel like Jekyll and Hyde""]",Jekyll And Hyde
555,Pierce The Veil,"['Maybe I could swim into your thoughts like your drugs do', 'Paralyze your body, sick and tired of waking up to\nBurning eyes and cigarettes', 'I’m falling through the couch like a suicide mission tonight', 'My God, here comes the downside', 'Wild eyes of terror pray for sex on the beach', 'While oceans of kerosene will soak into me', ""I'm not meant for this world, I just don't see the point\nDon’t think about it, don’t over think about it\nAnd life is a joke, but everything’s riding on me tonight"", 'Been counting the stars and scars\nHow I’m becoming a work of art', 'Desperate times and desperate measures', 'I come so close, my hopes are severed by the downside', 'A million waves in the ocean crash at once to make you smile', 'The whispered words “You’d better hide the bullets”', 'You stayed on the phone and talked to me day and night', 'Trigger my nightmare once again', 'It’s fucking loaded in hand\nAnd we’ll let the fire rage\nThe smoke and the drowning flames', 'My bedroom computer light is the only menace to my new faux wooden blinds', 'Desperate times and desperate measures', 'I come so close, my hopes are severed by the downside', 'A million waves in the ocean crash at once to make you smile', ""Now, I only pray when it all goes down\nI’ll be surrounded by all of the ones I've loved and cared about\nAnd then burn it down"", 'And life is a joke\nAt least I can love you, naked and tattooed', 'Counting the stars and scars', 'And if the pain is a sound, let’s slow it down', 'Desperate times and desperate measures', 'I come so close, my hopes are severed by the downside', 'A million waves in the ocean crash at once to make you smile', ""Now, I only pray when it all goes down\nI’ll be surrounded by all of the ones I've loved and cared about\nAnd then burn it down"", ""Your serotonin's gone\nThe kerosene is gone\nThe sunset is gone\nIt’s all gone, all gone, all gone, all gone""]",The Divine Zero
556,Theory Of A Deadman,[],Angel
